"","id","group","Carboxylic acids and derivatives","Diazines","Fatty Acyls","Imidazopyrimidines","Organooxygen compounds","Phenols","Pyridines and derivatives","Pyrimidine nucleosides","Unknown"
"1","Arabidopsis.1d.1","Arabidopsis_1d",0.132204234828981,0.00349576697076569,0,0.474156234104256,0.00759195951299723,2.35061473034692e-06,6.49755553890434e-06,7.94683102275386e-05,0.382463488102504
"2","Arabidopsis.1d.2","Arabidopsis_1d",0.111503737824269,0.000415158982999757,0,0.399236467230317,6.78276236709052e-05,1.39600717475931e-06,7.27556893470796e-06,0.00370068126244214,0.485067455500192
"3","Arabidopsis.1d.3","Arabidopsis_1d",0.202991512382644,0.000526331307935146,0,0.449880595101856,0.000557367488782836,2.79316369555255e-06,9.7181561990056e-06,8.39631449595561e-05,0.345947719253928
"4","Arabidopsis.1d.4","Arabidopsis_1d",0.19103308056316,0.000690416499302035,0,0.435688700017887,0.000672358347387391,2.40234314273052e-06,1.08336765293486e-05,0.000131820903791868,0.371770387648799
"5","Arabidopsis.00h.1","Arabidopsis_00h",0.401332956410793,0.000446701064479492,0,0.211644504886921,0.00143810090975098,4.34172779138529e-05,1.29700005707555e-05,0.000132960581744933,0.384948388867826
"6","Arabidopsis.00h.2","Arabidopsis_00h",0.439881902883183,0.000259174468387713,0,0.342519503865853,0.0007582572529642,3.70127845283555e-05,7.77726223292481e-06,5.62126448933899e-05,0.216480158837957
"7","Arabidopsis.00h.3","Arabidopsis_00h",0.46262623056664,0.000217096403817303,0,0.352280896261494,0.000114252663632711,7.6377287192841e-06,4.35751918174221e-06,0.000161077316402735,0.184588451540113
"8","Arabidopsis.00h.4","Arabidopsis_00h",0.344379218106295,0.00375150681645909,0,0.288781787091877,0.00120278211727163,2.90949133544531e-05,1.18082693770384e-05,0.000171184741032712,0.361672617944333
"9","Arabidopsis.02h.1","Arabidopsis_02h",0.281266192034037,0.000696021884854329,0,0.535382208823669,0.000500640204605842,0.000281762155524125,6.63711313300846e-05,0.00059463105642164,0.181212172709559
"10","Arabidopsis.02h.2","Arabidopsis_02h",0.339927962339979,0.000788985780554652,0,0.484569453686619,0.000505900530956812,2.80071731538216e-06,4.07718686496099e-07,0,0.174204489225888
"11","Arabidopsis.02h.3","Arabidopsis_02h",0.336555912733212,0.0136136970605021,2.37191797033956e-05,0.538797075339907,0.00511074712076863,1.52766439411207e-06,9.4228687234688e-07,7.06051527131737e-06,0.105889318099369
"12","Arabidopsis.02h.4","Arabidopsis_02h",0.4845188497606,0.0106453227168555,0,0.260635953829198,2.13021139326466e-05,1.86043718437031e-06,0,1.60844703652254e-05,0.244160626671865
"13","Arabidopsis.04h.1","Arabidopsis_04h",0.190990792806236,0.00089545743775422,1.70005186887667e-05,0.52648696014884,0.00520969803374811,1.63113972709172e-07,4.98787212678093e-06,0.000164935070857573,0.276230004997776
"14","Arabidopsis.04h.2","Arabidopsis_04h",0.164260324343844,0.00744048565851179,8.3757583704647e-06,0.490921153878559,2.628931240121e-05,5.54889170071113e-07,3.22899670686658e-06,0.000245774292182601,0.337093812870253
"15","Arabidopsis.04h.3","Arabidopsis_04h",0.372176779744417,0.00031446102367461,0,0.364077198404986,0.000407032311735282,1.41295691688399e-07,3.1247168076164e-06,3.2875586972174e-05,0.262988386915716
"16","Arabidopsis.04h.4","Arabidopsis_04h",0.314568591199063,0.0139059113627249,7.2527793448862e-05,0.335818520459947,0.000510924485835107,2.75949139326059e-07,1.08799407709844e-05,0.000227291652873577,0.334885077156197
"17","Arabidopsis.4d.1","Arabidopsis_4d",0.157421736961313,0.000445987446673632,0,0.140945584604167,0.00960272558808541,2.91549750443757e-06,1.11158471190598e-05,0.000135583173084515,0.691434350882053
"18","Arabidopsis.4d.2","Arabidopsis_4d",0.132281679567354,0.00476020513081498,0,0.109804589003555,0.00625212572950955,1.80070277111181e-06,1.09959971412894e-05,0.00232515830791935,0.744563445560935
"19","Arabidopsis.4d.3","Arabidopsis_4d",0.172547754948779,0.000571707900768053,0,0.20856405442516,0.00926902598679876,3.36304721170606e-06,2.30012001301212e-05,0.000196955357128299,0.608824137134024
"20","Arabidopsis.4d.4","Arabidopsis_4d",0.15672945432284,0.000461448894012579,0,0.2027398291251,0.000169875538607846,3.33660087068261e-06,2.24245639167705e-05,0.00397560936646782,0.635898021588184
"21","Arabidopsis.p5h.1","Arabidopsis_p5h",0.436716346881632,0.000316118639382789,0,0.280872546551222,0.00012258659595042,4.33084255184673e-06,1.25789646402368e-05,0.000134673167507224,0.281820818357113
"22","Arabidopsis.p5h.2","Arabidopsis_p5h",0.41407800143302,0.000507194971528486,0,0.328210711374994,0.00110562493830138,1.2133292921092e-05,9.02075676603276e-06,0.000123937388347203,0.255953375844122
"23","Arabidopsis.p5h.3","Arabidopsis_p5h",0.684263654887501,0.000119240228497843,0,0.250611133124021,0.000449050910353571,6.3894617628861e-07,4.10622552422968e-06,0.000127169284790227,0.0644250063931362
"24","Arabidopsis.p5h.4","Arabidopsis_p5h",0.460741725012979,0.00404215629640066,0,0.279171009044419,0.00120772515323623,4.44400605300691e-06,1.12003569275983e-05,0.000158468420188087,0.254663271709796
